market	~	~	0
spelling		a	18000
spelling	a		18000
spelling	a	b	18000
spelling	a	c	18000
spelling	a	d	18000
spelling	a	e	18000
spelling	a	f	18000
spelling	a	g	18000
spelling	a	h	18000
spelling	a	i	18000
spelling	a	j	18000
spelling	a	k	18000
spelling	a	l	18000
spelling	a	m	18000
spelling	a	n	18000
spelling	a	o	18000
spelling	a	p	18000
spelling	a	q	18000
spelling	a	r	18000
spelling	a	s	18000
spelling	a	t	18000
spelling	a	u	18000
spelling	a	v	18000
spelling	a	w	18000
spelling	a	x	18000
spelling	a	y	18000
spelling	a	z	18000
spelling		b	18000
spelling	b		18000
spelling	b	a	18000
spelling	b	c	18000
spelling	b	d	18000
spelling	b	e	18000
spelling	b	f	18000
spelling	b	g	18000
spelling	b	h	18000
spelling	b	i	18000
spelling	b	j	18000
spelling	b	k	18000
spelling	b	l	18000
spelling	b	m	18000
spelling	b	n	18000
spelling	b	o	18000
spelling	b	p	18000
spelling	b	q	18000
spelling	b	r	18000
spelling	b	s	18000
spelling	b	t	18000
spelling	b	u	18000
spelling	b	v	18000
spelling	b	w	18000
spelling	b	x	18000
spelling	b	y	18000
spelling	b	z	18000
spelling		c	18000
spelling	c		18000
spelling	c	a	18000
spelling	c	b	18000
spelling	c	d	18000
spelling	c	e	18000
spelling	c	f	18000
spelling	c	g	18000
spelling	c	h	18000
spelling	c	i	18000
spelling	c	j	18000
spelling	c	k	18000
spelling	c	l	18000
spelling	c	m	18000
spelling	c	n	18000
spelling	c	o	18000
spelling	c	p	18000
spelling	c	q	18000
spelling	c	r	18000
spelling	c	s	18000
spelling	c	t	18000
spelling	c	u	18000
spelling	c	v	18000
spelling	c	w	18000
spelling	c	x	18000
spelling	c	y	18000
spelling	c	z	18000
spelling		d	18000
spelling	d		18000
spelling	d	a	18000
spelling	d	b	18000
spelling	d	c	18000
spelling	d	e	18000
spelling	d	f	18000
spelling	d	g	18000
spelling	d	h	18000
spelling	d	i	18000
spelling	d	j	18000
spelling	d	k	18000
spelling	d	l	18000
spelling	d	m	18000
spelling	d	n	18000
spelling	d	o	18000
spelling	d	p	18000
spelling	d	q	18000
spelling	d	r	18000
spelling	d	s	18000
spelling	d	t	18000
spelling	d	u	18000
spelling	d	v	18000
spelling	d	w	18000
spelling	d	x	18000
spelling	d	y	18000
spelling	d	z	18000
spelling		e	18000
spelling	e		18000
spelling	e	a	18000
spelling	e	b	18000
spelling	e	c	18000
spelling	e	d	18000
spelling	e	f	18000
spelling	e	g	18000
spelling	e	h	18000
spelling	e	i	18000
spelling	e	j	18000
spelling	e	k	18000
spelling	e	l	18000
spelling	e	m	18000
spelling	e	n	18000
spelling	e	o	18000
spelling	e	p	18000
spelling	e	q	18000
spelling	e	r	18000
spelling	e	s	18000
spelling	e	t	18000
spelling	e	u	18000
spelling	e	v	18000
spelling	e	w	18000
spelling	e	x	18000
spelling	e	y	18000
spelling	e	z	18000
spelling		f	18000
spelling	f		18000
spelling	f	a	18000
spelling	f	b	18000
spelling	f	c	18000
spelling	f	d	18000
spelling	f	e	18000
spelling	f	g	18000
spelling	f	h	18000
spelling	f	i	18000
spelling	f	j	18000
spelling	f	k	18000
spelling	f	l	18000
spelling	f	m	18000
spelling	f	n	18000
spelling	f	o	18000
spelling	f	p	18000
spelling	f	q	18000
spelling	f	r	18000
spelling	f	s	18000
spelling	f	t	18000
spelling	f	u	18000
spelling	f	v	18000
spelling	f	w	18000
spelling	f	x	18000
spelling	f	y	18000
spelling	f	z	18000
spelling		g	18000
spelling	g		18000
spelling	g	a	18000
spelling	g	b	18000
spelling	g	c	18000
spelling	g	d	18000
spelling	g	e	18000
spelling	g	f	18000
spelling	g	h	18000
spelling	g	i	18000
spelling	g	j	18000
spelling	g	k	18000
spelling	g	l	18000
spelling	g	m	18000
spelling	g	n	18000
spelling	g	o	18000
spelling	g	p	18000
spelling	g	q	18000
spelling	g	r	18000
spelling	g	s	18000
spelling	g	t	18000
spelling	g	u	18000
spelling	g	v	18000
spelling	g	w	18000
spelling	g	x	18000
spelling	g	y	18000
spelling	g	z	18000
spelling		h	18000
spelling	h		18000
spelling	h	a	18000
spelling	h	b	18000
spelling	h	c	18000
spelling	h	d	18000
spelling	h	e	18000
spelling	h	f	18000
spelling	h	g	18000
spelling	h	i	18000
spelling	h	j	18000
spelling	h	k	18000
spelling	h	l	18000
spelling	h	m	18000
spelling	h	n	18000
spelling	h	o	18000
spelling	h	p	18000
spelling	h	q	18000
spelling	h	r	18000
spelling	h	s	18000
spelling	h	t	18000
spelling	h	u	18000
spelling	h	v	18000
spelling	h	w	18000
spelling	h	x	18000
spelling	h	y	18000
spelling	h	z	18000
spelling		i	18000
spelling	i		18000
spelling	i	a	18000
spelling	i	b	18000
spelling	i	c	18000
spelling	i	d	18000
spelling	i	e	18000
spelling	i	f	18000
spelling	i	g	18000
spelling	i	h	18000
spelling	i	j	18000
spelling	i	k	18000
spelling	i	l	18000
spelling	i	m	18000
spelling	i	n	18000
spelling	i	o	18000
spelling	i	p	18000
spelling	i	q	18000
spelling	i	r	18000
spelling	i	s	18000
spelling	i	t	18000
spelling	i	u	18000
spelling	i	v	18000
spelling	i	w	18000
spelling	i	x	18000
spelling	i	y	18000
spelling	i	z	18000
spelling		j	18000
spelling	j		18000
spelling	j	a	18000
spelling	j	b	18000
spelling	j	c	18000
spelling	j	d	18000
spelling	j	e	18000
spelling	j	f	18000
spelling	j	g	18000
spelling	j	h	18000
spelling	j	i	18000
spelling	j	k	18000
spelling	j	l	18000
spelling	j	m	18000
spelling	j	n	18000
spelling	j	o	18000
spelling	j	p	18000
spelling	j	q	18000
spelling	j	r	18000
spelling	j	s	18000
spelling	j	t	18000
spelling	j	u	18000
spelling	j	v	18000
spelling	j	w	18000
spelling	j	x	18000
spelling	j	y	18000
spelling	j	z	18000
spelling		k	18000
spelling	k		18000
spelling	k	a	18000
spelling	k	b	18000
spelling	k	c	18000
spelling	k	d	18000
spelling	k	e	18000
spelling	k	f	18000
spelling	k	g	18000
spelling	k	h	18000
spelling	k	i	18000
spelling	k	j	18000
spelling	k	l	18000
spelling	k	m	18000
spelling	k	n	18000
spelling	k	o	18000
spelling	k	p	18000
spelling	k	q	18000
spelling	k	r	18000
spelling	k	s	18000
spelling	k	t	18000
spelling	k	u	18000
spelling	k	v	18000
spelling	k	w	18000
